StockCode,Description,Quantity,UnitPrice,Country,Rating
21212,PACK OF 72 RETROSPOT CAKE CASES,120,0.42,United Kingdom,5
21975,PACK OF 60 DINOSAUR CAKE CASES,24,0.55,United Kingdom,0
21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,United Kingdom,4
84991,60 TEATIME FAIRY CAKE CASES,24,0.55,United Kingdom,0
84519A,TOMATO CHARLIE+LOLA COASTER SET,6,2.95,United Kingdom,4
85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,48,1.25,United Kingdom,2
85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,96,0.38,United Kingdom,5
21931,JUMBO STORAGE BAG SUKI,10,1.95,United Kingdom,5
21929,JUMBO BAG PINK VINTAGE PAISLEY,10,1.95,United Kingdom,2
22961,JAM MAKING SET PRINTED,24,1.45,United Kingdom,1
22139,RETROSPOT TEA SET CERAMIC 11 PC ,23,4.25,United Kingdom,2
84854,GIRLY PINK TOOL SET,5,4.95,United Kingdom,4
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,1.95,United Kingdom,0
82567,"AIRLINE LOUNGE,METAL SIGN",2,2.1,United Kingdom,1
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,6,1.25,United Kingdom,2
22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,24,1.25,United Kingdom,2
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24,1.25,United Kingdom,2
71270,PHOTO CLIP LINE,1,1.25,United Kingdom,5
22262,FELT EGG COSY CHICKEN,1,0.85,United Kingdom,2
22637,PIGGY BANK RETROSPOT ,1,2.55,United Kingdom,5
21934,SKULL SHOULDER BAG,10,1.65,United Kingdom,1
21169,YOU'RE CONFUSING ME METAL SIGN ,3,1.69,United Kingdom,0
21166,COOK WITH WINE METAL SIGN ,1,1.95,United Kingdom,3
21175,GIN + TONIC DIET METAL SIGN,2,2.1,United Kingdom,3
37444A,YELLOW BREAKFAST CUP AND SAUCER,1,2.95,United Kingdom,2
37444C,PINK BREAKFAST CUP AND SAUCER ,1,2.95,United Kingdom,3
22083,PAPER CHAIN KIT RETROSPOT,1,2.95,United Kingdom,2
84971S,SMALL HEART FLOWERS HOOK ,6,0.85,United Kingdom,2
47580,TEA TIME DES TEA COSY,2,2.55,United Kingdom,2
22261,FELT EGG COSY WHITE RABBIT ,1,0.85,United Kingdom,4
84832,ZINC WILLIE WINKIE  CANDLE STICK,1,0.85,United Kingdom,5
22644,CERAMIC CHERRY CAKE MONEY BANK,1,1.45,United Kingdom,4
21533,RETROSPOT LARGE MILK JUG,1,4.95,United Kingdom,0
21557,SET OF 6 FUNKY BEAKERS,2,2.95,United Kingdom,0
15056BL,EDWARDIAN PARASOL BLACK,2,5.95,United Kingdom,0
15056N,EDWARDIAN PARASOL NATURAL,2,5.95,United Kingdom,4
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,4,1.45,United Kingdom,3
22176,BLUE OWL SOFT TOY,1,2.95,United Kingdom,4
22438,BALLOON ART MAKE YOUR OWN FLOWERS,1,1.95,United Kingdom,1
22778,GLASS CLOCHE SMALL,3,3.95,United Kingdom,3
22719,GUMBALL MONOCHROME COAT RACK,36,1.06,United Kingdom,4
21523,DOORMAT FANCY FONT HOME SWEET HOME,10,6.75,United Kingdom,3
D,Discount,-1,27.5,United Kingdom,5
21912,VINTAGE SNAKES & LADDERS,8,3.75,United Kingdom,1
21832,CHOCOLATE CALCULATOR,12,1.65,United Kingdom,3
22379,RECYCLING BAG RETROSPOT ,10,2.1,United Kingdom,5
22381,TOY TIDY PINK POLKADOT,50,1.85,United Kingdom,0
22798,ANTIQUE GLASS DRESSING TABLE POT,8,2.95,United Kingdom,2
22926,IVORY GIANT GARDEN THERMOMETER,12,5.95,United Kingdom,3
22839,3 TIER CAKE TIN GREEN AND CREAM,2,14.95,United Kingdom,2
22838,3 TIER CAKE TIN RED AND CREAM,2,14.95,United Kingdom,4
22783,SET 3 WICKER OVAL BASKETS W LIDS,4,16.95,United Kingdom,4
35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,4.65,United Kingdom,1
82484,WOOD BLACK BOARD ANT WHITE FINISH,3,6.45,United Kingdom,3
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,48,0.65,United Kingdom,1
22464,HANGING METAL HEART LANTERN,12,1.65,United Kingdom,2
21324,HANGING MEDINA LANTERN SMALL,6,2.95,United Kingdom,4
22457,NATURAL SLATE HEART CHALKBOARD ,12,2.95,United Kingdom,2
22469,HEART OF WICKER SMALL,40,1.45,United Kingdom,2
22470,HEART OF WICKER LARGE,40,2.55,United Kingdom,1
22224,WHITE LOVEBIRD LANTERN,6,2.95,United Kingdom,5
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,2,12.75,United Kingdom,3
22189,CREAM HEART CARD HOLDER,4,3.95,United Kingdom,2
22427,ENAMEL FLOWER JUG CREAM,3,5.95,United Kingdom,2
22428,ENAMEL FIRE BUCKET CREAM,6,6.95,United Kingdom,3
22424,ENAMEL BREAD BIN CREAM,8,10.95,United Kingdom,2
22663,JUMBO BAG DOLLY GIRL DESIGN,10,1.95,United Kingdom,0
85049A,TRADITIONAL CHRISTMAS RIBBONS,12,1.25,United Kingdom,3
22168,ORGANISER WOOD ANTIQUE WHITE ,2,8.5,United Kingdom,0
22662,LUNCH BAG DOLLY GIRL DESIGN,10,1.65,United Kingdom,3
84880,WHITE WIRE EGG HOLDER,36,4.95,United Kingdom,5
85099B,JUMBO BAG RED RETROSPOT,100,1.65,United Kingdom,4
79321,CHILLI LIGHTS,192,3.82,United Kingdom,4
22780,LIGHT GARLAND BUTTERFILES PINK,192,3.37,United Kingdom,5
22779,WOODEN OWLS LIGHT GARLAND ,192,3.37,United Kingdom,5
22466,FAIRY TALE COTTAGE NIGHTLIGHT,432,1.45,United Kingdom,4
21363,HOME SMALL WOOD LETTERS,3,4.95,United Kingdom,4
21411,GINGHAM HEART  DOORSTOP RED,3,4.25,United Kingdom,4
22318,FIVE HEART HANGING DECORATION,6,2.95,United Kingdom,0
22915,ASSORTED BOTTLE TOP  MAGNETS ,12,0.42,United Kingdom,4
22922,FRIDGE MAGNETS US DINER ASSORTED,12,0.85,United Kingdom,3
22969,HOMEMADE JAM SCENTED CANDLES,12,1.45,United Kingdom,0
22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,12,0.85,United Kingdom,2
21115,ROSE CARAVAN DOORSTOP,4,6.75,United Kingdom,3
22242,5 HOOK HANGER MAGIC TOADSTOOL,12,1.65,United Kingdom,0
22941,CHRISTMAS LIGHTS 10 REINDEER,6,8.5,Australia,5
21622,VINTAGE UNION JACK CUSHION COVER,8,4.95,Australia,2
35004G,SET OF 3 GOLD FLYING DUCKS,4,6.35,Australia,3
85014B,RED RETROSPOT UMBRELLA,6,5.95,Australia,2
85014A,BLACK/BLUE POLKADOT UMBRELLA,3,5.95,Australia,4
22193,RED DINER WALL CLOCK,2,8.5,Australia,4
22192,BLUE DINER WALL CLOCK,2,8.5,Australia,1
22191,IVORY DINER WALL CLOCK,2,8.5,Australia,0
22195,LARGE HEART MEASURING SPOONS,24,1.65,Australia,4
22196,SMALL HEART MEASURING SPOONS,24,0.85,Australia,1
22962,JAM JAR WITH PINK LID,48,0.72,United Kingdom,3
22963,JAM JAR WITH GREEN LID,48,0.72,United Kingdom,1
22968,ROSE COTTAGE KEEPSAKE BOX ,8,8.5,United Kingdom,0
84970S,HANGING HEART ZINC T-LIGHT HOLDER,144,0.64,United Kingdom,2
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,2.55,United Kingdom,5
20668,DISCO BALL CHRISTMAS DECORATION,288,0.1,United Kingdom,1
22197,SMALL POPCORN HOLDER,100,0.72,United Kingdom,2
22198,LARGE POPCORN HOLDER ,50,1.45,United Kingdom,4
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,96,0.64,United Kingdom,3
21086,SET/6 RED SPOTTY PAPER CUPS,48,0.65,United Kingdom,5
21786,POLKADOT RAIN HAT ,144,0.32,United Kingdom,2
22654,DELUXE SEWING KIT ,40,4.95,United Kingdom,1
21485,RETROSPOT HEART HOT WATER BOTTLE,24,4.25,United Kingdom,4
84030E,ENGLISH ROSE HOT WATER BOTTLE,24,3.75,United Kingdom,5
22174,PHOTO CUBE,48,1.48,United Kingdom,4
22556,PLASTERS IN TIN CIRCUS PARADE ,-12,1.65,United Kingdom,2
21984,PACK OF 12 PINK PAISLEY TISSUES ,-24,0.29,United Kingdom,2
21983,PACK OF 12 BLUE PAISLEY TISSUES ,-24,0.29,United Kingdom,0
21980,PACK OF 12 RED RETROSPOT TISSUES ,-24,0.29,United Kingdom,5
21484,CHICK GREY HOT WATER BOTTLE,-12,3.45,United Kingdom,2
22557,PLASTERS IN TIN VINTAGE PAISLEY ,-12,1.65,United Kingdom,1
22553,PLASTERS IN TIN SKULLS,-24,1.65,United Kingdom,0
22150,3 STRIPEY MICE FELTCRAFT,6,1.95,United Kingdom,2
22619,SET OF 6 SOLDIER SKITTLES,4,3.75,United Kingdom,5
21891,TRADITIONAL WOODEN SKIPPING ROPE,12,1.25,United Kingdom,5
21889,WOODEN BOX OF DOMINOES,12,1.25,United Kingdom,4
22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,1,165.0,United Kingdom,3
22127,PARTY CONES CARNIVAL ASSORTED,12,1.25,United Kingdom,5
22128,PARTY CONES CANDY ASSORTED,12,1.25,United Kingdom,5
22502,PICNIC BASKET WICKER SMALL,4,5.95,United Kingdom,0
22338,STAR DECORATION PAINTED ZINC ,24,0.65,United Kingdom,3
22180,RETROSPOT LAMP,8,9.95,United Kingdom,4
21506,"FANCY FONT BIRTHDAY CARD, ",24,0.42,United Kingdom,3
22866,HAND WARMER SCOTTY DOG DESIGN,96,1.85,United Kingdom,0
22865,HAND WARMER OWL DESIGN,96,1.85,United Kingdom,3
22632,HAND WARMER RED RETROSPOT,96,1.85,United Kingdom,2
22349,DOG BOWL CHASING BALL DESIGN,12,3.75,United Kingdom,5
22558,CLOTHES PEGS RETROSPOT PACK 24 ,48,1.25,United Kingdom,3
85152,HAND OVER THE CHOCOLATE   SIGN ,12,2.1,United Kingdom,4
22652,TRAVEL SEWING KIT,20,1.65,United Kingdom,5
22188,BLACK HEART CARD HOLDER,8,3.95,United Kingdom,2
21314,SMALL GLASS HEART TRINKET POT,8,2.1,United Kingdom,5
22730,ALARM CLOCK BAKELIKE IVORY,4,3.75,United Kingdom,0
22729,ALARM CLOCK BAKELIKE ORANGE,8,3.75,United Kingdom,5
22867,HAND WARMER BIRD DESIGN,48,2.1,United Kingdom,0
22803,IVORY EMBROIDERED QUILT ,2,35.75,United Kingdom,5
35004B,SET OF 3 BLACK FLYING DUCKS,12,4.65,United Kingdom,3
21844,RED RETROSPOT MUG,6,2.95,United Kingdom,2
22468,BABUSHKA LIGHTS STRING OF 10,4,6.75,United Kingdom,3
48185,DOORMAT FAIRY CAKE,2,7.95,United Kingdom,3
21232,STRAWBERRY CERAMIC TRINKET BOX,12,1.25,United Kingdom,2
22064,PINK DOUGHNUT TRINKET POT ,12,1.65,United Kingdom,1
22449,SILK PURSE BABUSHKA PINK,6,3.35,United Kingdom,5
22835,HOT WATER BOTTLE I AM SO POORLY,8,4.65,United Kingdom,4
22112,CHOCOLATE HOT WATER BOTTLE,9,4.95,United Kingdom,1
21479,WHITE SKULL HOT WATER BOTTLE ,4,3.75,United Kingdom,2
22111,SCOTTIE DOG HOT WATER BOTTLE,9,4.95,United Kingdom,4
22110,BIRD HOUSE HOT WATER BOTTLE,1,2.55,United Kingdom,3
22098,BOUDOIR SQUARE TISSUE BOX,1,1.25,United Kingdom,2
22100,SKULLS SQUARE TISSUE BOX,2,1.25,United Kingdom,3
22766,PHOTO FRAME CORNICE,1,2.95,United Kingdom,3
22451,SILK PURSE BABUSHKA RED,1,3.35,United Kingdom,3
22549,PICTURE DOMINOES,1,1.45,United Kingdom,2
84744,S/6 SEW ON CROCHET FLOWERS,1,1.25,United Kingdom,4
85049E,SCANDINAVIAN REDS RIBBONS,2,1.25,United Kingdom,5
21328,BALLOONS  WRITING SET ,1,1.65,United Kingdom,4
17091A,LAVENDER INCENSE IN TIN,1,1.25,United Kingdom,3
22473,TV DINNER TRAY VINTAGE PAISLEY,1,4.95,United Kingdom,0
84509A,SET OF 4 ENGLISH ROSE PLACEMATS,2,3.75,United Kingdom,3
84510A,SET OF 4 ENGLISH ROSE COASTERS,2,1.25,United Kingdom,1
22767,TRIPLE PHOTO FRAME CORNICE ,2,9.95,United Kingdom,3
22768,FAMILY PHOTO FRAME CORNICE,1,9.95,United Kingdom,0
21463,MIRRORED DISCO BALL ,1,5.95,United Kingdom,5
21464,DISCO BALL ROTATOR BATTERY OPERATED,1,4.25,United Kingdom,2
20820,SILVER LOOKING MIRROR,3,4.95,United Kingdom,2
85150,LADIES & GENTLEMEN METAL SIGN,1,2.55,United Kingdom,2
22117,METAL SIGN HER DINNER IS SERVED ,1,2.95,United Kingdom,4
48129,DOORMAT TOPIARY,1,7.95,United Kingdom,1
82580,BATHROOM METAL SIGN,1,0.55,United Kingdom,0
82578,KITCHEN METAL SIGN,1,0.55,United Kingdom,2
82581,TOILET METAL SIGN,2,0.55,United Kingdom,5
22413,METAL SIGN TAKE IT OR LEAVE IT ,4,2.95,United Kingdom,3
21907,I'M ON HOLIDAY METAL SIGN,2,2.1,United Kingdom,1
22441,GROW YOUR OWN BASIL IN ENAMEL MUG,1,2.1,United Kingdom,3
21122,SET/10 PINK POLKADOT PARTY CANDLES,1,1.25,United Kingdom,1
22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,1,0.85,United Kingdom,0
22810,SET OF 6 T-LIGHTS SNOWMEN,1,2.95,United Kingdom,3
22809,SET OF 6 T-LIGHTS SANTA,1,2.95,United Kingdom,4
22435,SET OF 9 HEART SHAPED BALLOONS,2,1.25,United Kingdom,1
20966,SANDWICH BATH SPONGE,3,1.25,United Kingdom,5
20963,APPLE BATH SPONGE,1,1.25,United Kingdom,0
20961,STRAWBERRY BATH SPONGE ,1,1.25,United Kingdom,0
22068,BLACK PIRATE TREASURE CHEST,2,1.65,United Kingdom,2
21743,STAR PORTABLE TABLE LIGHT ,2,2.95,United Kingdom,4
21744,SNOWFLAKE PORTABLE TABLE LIGHT ,2,2.95,United Kingdom,5
84709B,PINK OVAL JEWELLED MIRROR,1,5.95,United Kingdom,0
21592,RETROSPOT CIGAR BOX MATCHES ,1,1.25,United Kingdom,3
21587,COSY HOUR GIANT TUBE MATCHES,2,2.55,United Kingdom,0
20992,JAZZ HEARTS PURSE NOTEBOOK,9,0.85,United Kingdom,0
22804,CANDLEHOLDER PINK HANGING HEART,3,2.95,United Kingdom,0
20749,ASSORTED COLOUR MINI CASES,1,7.95,United Kingdom,4
22382,LUNCH BAG SPACEBOY DESIGN ,2,1.65,United Kingdom,2
20726,LUNCH BAG WOODLAND,1,1.65,United Kingdom,2
22384,LUNCH BAG PINK POLKADOT,1,1.65,United Kingdom,4
22467,GUMBALL COAT RACK,5,2.55,United Kingdom,1
84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,3,2.95,United Kingdom,4
84625A,PINK NEW BAROQUECANDLESTICK CANDLE,3,2.95,United Kingdom,5
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,9,2.55,United Kingdom,0
22848,BREAD BIN DINER STYLE PINK,1,16.95,United Kingdom,0
47570B,TEA TIME TABLE CLOTH,1,10.65,United Kingdom,0
22837,HOT WATER BOTTLE BABUSHKA ,36,4.25,United Kingdom,1
22297,HEART IVORY TRELLIS SMALL,24,1.25,United Kingdom,0
22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12,1.25,United Kingdom,4
22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,12,1.25,United Kingdom,5
22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,12,1.25,United Kingdom,3
21125,SET 6 FOOTBALL CELEBRATION CANDLES,12,1.25,United Kingdom,2
21126,SET OF 6 GIRLS CELEBRATION CANDLES,12,1.25,United Kingdom,4
85049C,ROMANTIC PINKS RIBBONS ,12,1.25,United Kingdom,4
85049D,BRIGHT BLUES RIBBONS ,12,1.25,United Kingdom,0
85049G,CHOCOLATE BOX RIBBONS ,12,1.25,United Kingdom,0
21061,PARTY INVITES FOOTBALL,12,0.85,United Kingdom,4
21063,PARTY INVITES JAZZ HEARTS,12,0.85,United Kingdom,4
21062,PARTY INVITES SPACEMAN,12,0.85,United Kingdom,3
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,1.25,United Kingdom,4
84378,SET OF 3 HEART COOKIE CUTTERS,12,1.25,United Kingdom,5
22964,3 PIECE SPACEBOY COOKIE CUTTER SET,12,2.1,United Kingdom,0
21213,PACK OF 72 SKULL CAKE CASES,24,0.55,United Kingdom,1
22417,PACK OF 60 SPACEBOY CAKE CASES,24,0.55,United Kingdom,4
84992,72 SWEETHEART FAIRY CAKE CASES,24,0.55,United Kingdom,3
22383,LUNCH BAG SUKI  DESIGN ,10,1.65,United Kingdom,1
20728,LUNCH BAG CARS BLUE,10,1.65,United Kingdom,3
20727,LUNCH BAG  BLACK SKULL.,10,1.65,United Kingdom,2
22296,HEART IVORY TRELLIS LARGE,24,1.65,United Kingdom,3
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,128,2.55,United Kingdom,1
22537,MAGIC DRAWING SLATE DINOSAUR,24,0.42,United Kingdom,4
22533,MAGIC DRAWING SLATE BAKE A CAKE ,24,0.42,United Kingdom,0
20982,12 PENCILS TALL TUBE SKULLS,12,0.85,United Kingdom,3
21915,RED  HARMONICA IN BOX ,12,1.25,United Kingdom,4
21914,BLUE HARMONICA IN BOX ,12,1.25,United Kingdom,1
21544,SKULLS  WATER TRANSFER TATTOOS ,12,0.85,United Kingdom,0
22813,PACK 3 BOXES BIRD PANNETONE ,12,1.95,United Kingdom,5
84375,SET OF 20 KIDS COOKIE CUTTERS,12,2.1,United Kingdom,1
22418,10 COLOUR SPACEBOY PEN,24,0.85,United Kingdom,1
22178,VICTORIAN GLASS HANGING T-LIGHT,12,1.25,United Kingdom,1
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,0.95,United Kingdom,0
22465,HANGING METAL STAR LANTERN,12,1.65,United Kingdom,5
84949,SILVER HANGING T-LIGHT HOLDER,6,1.65,United Kingdom,1
20685,DOORMAT RED RETROSPOT,2,7.95,United Kingdom,5
48194,DOORMAT HEARTS,2,7.95,United Kingdom,5
22488,NATURAL SLATE RECTANGLE CHALKBOARD,12,1.65,United Kingdom,0
22219,LOVEBIRD HANGING DECORATION WHITE ,12,0.85,United Kingdom,3
22610,PENS ASSORTED FUNNY FACE,36,0.85,United Kingdom,0
22716,CARD CIRCUS PARADE,12,0.42,United Kingdom,2
22706,WRAP COWBOYS  ,25,0.42,United Kingdom,0
22371,AIRLINE BAG VINTAGE TOKYO 78,4,4.25,United Kingdom,3
21210,SET OF 72 RETROSPOT PAPER  DOILIES,12,1.45,United Kingdom,1
16237,SLEEPING CAT ERASERS,30,0.21,United Kingdom,5
22714,CARD BIRTHDAY COWBOY,12,0.42,United Kingdom,0
22812,PACK 3 BOXES CHRISTMAS PANNETONE,12,1.95,United Kingdom,5
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,6,2.55,United Kingdom,4
22736,RIBBON REEL MAKING SNOWMEN ,10,1.65,United Kingdom,0
22620,4 TRADITIONAL SPINNING TOPS,12,1.25,United Kingdom,3
21705,BAG 500g SWIRLY MARBLES,12,1.65,United Kingdom,4
90199C,5 STRAND GLASS NECKLACE CRYSTAL,3,6.35,United Kingdom,0
22785,SQUARECUSHION COVER PINK UNION FLAG,1,6.75,United Kingdom,3
22975,SPACEBOY CHILDRENS EGG CUP,1,1.25,United Kingdom,0
22972,CHILDREN'S SPACEBOY MUG,1,1.65,United Kingdom,4
22568,FELTCRAFT CUSHION OWL,1,3.75,United Kingdom,2
85116,BLACK CANDELABRA T-LIGHT HOLDER,1,2.1,United Kingdom,2
22664,TOY TIDY DOLLY GIRL DESIGN,1,2.1,United Kingdom,3
21609,SET 12 LAVENDER  BOTANICAL T-LIGHTS,1,2.95,United Kingdom,0
21866,UNION JACK FLAG LUGGAGE TAG,1,1.25,United Kingdom,2
20669,RED HEART LUGGAGE TAG,1,1.25,United Kingdom,3
90129F,RED GLASS TASSLE BAG CHARM,1,2.95,United Kingdom,4
90210B,CLEAR ACRYLIC FACETED BANGLE,1,2.95,United Kingdom,2
21955,DOORMAT UNION JACK GUNS AND ROSES,1,7.95,United Kingdom,2
72802C,VANILLA SCENT CANDLE JEWELLED BOX,1,4.25,United Kingdom,1
22109,FULL ENGLISH BREAKFAST PLATE,1,3.75,United Kingdom,4
22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,1,0.42,United Kingdom,0
21811,CHRISTMAS HANGING HEART WITH BELL,1,1.25,United Kingdom,3
22183,CAKE STAND VICTORIAN FILIGREE MED,1,6.75,United Kingdom,2
21678,PAISLEY PATTERN  STICKERS,6,0.85,United Kingdom,3
21676,FLOWERS  STICKERS,6,0.85,United Kingdom,5
85169B,BLACK LOVE BIRD CANDLE,12,1.25,United Kingdom,0
16238,PARTY TIME PENCIL ERASERS,28,0.21,United Kingdom,5
84906,PINK B'FLY C/COVER W BOBBLES,1,5.95,United Kingdom,2
21867,PINK UNION JACK  LUGGAGE TAG,1,1.25,United Kingdom,5
22075,6 RIBBONS ELEGANT CHRISTMAS ,1,1.65,United Kingdom,4
21326,AGED GLASS SILVER T-LIGHT HOLDER,12,0.65,United Kingdom,3
21065,BOOM BOX SPEAKER GIRLS,1,5.95,United Kingdom,5
22074,6 RIBBONS SHIMMERING PINKS ,1,1.65,United Kingdom,4
20713,JUMBO BAG OWLS,1,1.95,United Kingdom,0
21116,OWL DOORSTOP,1,4.95,United Kingdom,2
21824,PAINTED METAL STAR WITH HOLLY BELLS,3,1.45,United Kingdom,1
21823,PAINTED METAL HEART WITH HOLLY BELL,3,1.45,United Kingdom,2
22153,ANGEL DECORATION STARS ON DRESS,6,0.42,United Kingdom,1
85099F,JUMBO BAG STRAWBERRY,1,1.95,United Kingdom,5
20717,STRAWBERRY SHOPPER BAG,1,1.25,United Kingdom,0
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,2.95,United Kingdom,0
22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,2.95,United Kingdom,5
22630,DOLLY GIRL LUNCH BOX,1,1.95,United Kingdom,0
